"id","otel_ad","fiyat","imageURL","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
100,Telatiye Resort Hotel,"37.217,88 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/06218/1050X700/tsr06218638033493863414267.jpg,"7,7",+33000,Antalya - Alanya-Konaklı ,"110 km, Antalya HA ","50 - 100 Metre Arası",Mavi Bayraklı Özel Plaj,Yok,"2","1","1","1","2","1","0","3","1","0","1","1","1","1","1","0","1","0","1","1","0","0","1","0","1","1","1","1","1"
107,Blue Dreams Resort,"98.000,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00051/1050X700/tsr00051637849360261276855.jpg,"8,6",+33000,Bodrum - Torba ,"23 km, Milas ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,"3","1","1","1","4","1","0","5","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","0","1","1","1","1"
152,Club Munamar Beach Resort,"52.552,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01828/1050X700/tsr01828638366809951961062.jpg,"7,8",+33000,Marmaris - İçmeler-Cumhuriyet Mahallesi ,"100 km, Dalaman HA ","50 - 100 Metre Arası",Özel Plaj,Yok,"0","1","1","1","3","0","0","3","1","0","0","0","1","1","1","0","0","0","1","1","0","0","1","0","1","1","1","1","1"
234,Reis Maris Hotel,"16.296,15 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11684/1050X700/tsr11684637903231357060825.jpg,,"15000-17000",Marmaris - Merkez ,"94 km, Dalaman ","100 - 200 Metre Arası",Halk Plajı,Yok,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
5,Champion Holiday Village,"52.064,25 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/06840/1050X700/tsr06840638264036188217445.jpg,"7,8",+33000,Antalya - Kemer-Beldibi ,"45 km, Antalya HA ",Denize Sıfır,Özel Plaj,Var,"2","1","1","1","1","0","1","3","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1"
30,Presa Di Finica Hotel,"56.000,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01644/1050X700/tsr01644638436164442815167.jpg,"7,2",+33000,Antalya - Finike-Sahilkent ,"128 km, Antalya HA ","100 - 200 Metre Arası",Yok,Yok,"2","0","1","1","4","1","1","8","1","0","1","0","1","1","1","1","1","0","1","1","0","0","1","1","0","1","1","1","1"
73,Mysea Hotels Alara,"34.650,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/06833/1050X700/tsr06833637841414821729363.jpg,"5,6",+33000,Antalya - Alanya-Okurcalar ,"100 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,"0","0","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","0","1","1","1","1","1","0","0","1","1","1","0"
39,Sealife Buket Beach Hotel,"74.144,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04235/1050X700/tsr04235638556818920921071.jpg,"8,4",+33000,Antalya - Alanya-Okurcalar ,"92 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,"2","1","1","1","1","1","1","5","1","0","1","1","1","1","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1"
189,Lara Otel +12 Adult Only,"18.708,71 TL",,"","17000-19000","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101,Taç Premier Hotel Spa,"37.383,93 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02550/1050X700/tsr02550638459284226016185.jpg,"7,6",+33000,Antalya - Alanya ,"120 km, Antalya HA ","50 Metreye Kadar",Özel Plaj,Yok,"0","1","0","1","1","1","0","1","0","0","1","0","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1"
125,Porto Bello Hotel Resort Spa,"71.715,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00192/1050X700/tsr00192637309456904748589.jpg,"8,5",+33000,Antalya - Konyaaltı-Konyaaltı ,"20 km, Antalya HA ","50 Metreye Kadar",Özel Plaj,Yok,"1","1","1","2","1","1","1","4","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
187,Kleopatra İkiz Otel,"16.115,72 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01618/1050X700/tsr01618637654970960108154.jpg,"7,3","15000-17000",Antalya - Alanya-Kleopatra ,"120 km, Antalya ","50 - 100 Metre Arası",Halk Plajı,Yok,"1","1","1","1","1","0","0","1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0"
108,Bodrum Park Resort,"98.752,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/14016/1050X700/tsr14016638507818168248370.jpg,"9,9",+33000,Bodrum - Yalıçiftlik ,"45 km, Milas HA ",Denize Sıfır,Özel Plaj,Var,"1","1","1","1","1","1","0","8","1","0","1","1","1","1","0","1","1","0","1","1","0","0","1","1","1","1","1","0","1"
114,Diamond Elite Hotel Spa,"50.069,25 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/07607/1050X700/tsr07607637874484820863379.jpg,"9,1",+33000,Antalya - Side-Çolaklı ,"55 km, Antalya HA ","200 - 300 Metre Arası",Özel Plaj,Yok,"2","1","1","1","2","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1","1","1","0"
235,Relax Beach Hotel,"23.660,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12483/1050X700/tsr12483638326448357958246.jpg,"7,4","23000-25000",Antalya - Alanya ,"130 km, Antalya HA ",Denize Sıfır (Aradan Yol Geçiyor),Özel Plaj,Yok,"1","0","0","0","1","0","0","0","1","0","1","1","0","1","1","0","0","0","1","1","0","0","1","0","0","0","0","1","0"
40,Selene Beach Spa Hotel,"78.205,26 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/10516/1050X700/tsr10516638149157739566985.jpg,"9,5",+33000,Antalya - Alanya-Türkler ,"105 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,"1","1","1","1","1","0","0","2","0","0","1","1","0","1","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0"
134,Sui Resort Hotel,"75.341,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/05788/1050X700/tsr05788638427253466141786.jpg,"8,2",+33000,Antalya - Alanya-Okurcalar ,"98 km, Antalya HA ","500 - 600 Metre Arası",Özel Plaj,Yok,"3","1","1","1","1","1","1","4","1","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1"
188,La Brezza Suıte Hotel Akyarlar,"35.421,75 TL",https://cdn.tatilsepeti.com/Files/TesisResim/09739/tsr09739636934424999202682.jpg,,+33000,Bodrum - Akyarlar ,"60 km, Milas HA ","600 - 750 Metre Arası",Özel Plaj,Yok,"0","0","1","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
236,Side Beach Club,"24.313,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13947/1050X700/tsr13947638494219362390149.jpg,,"23000-25000",Antalya - Side ,"No Info km, No Info",No Info,Halk Plajı,Yok,"0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
6,Club Grand Aqua,"66.901,30 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03476/1050X700/tsr03476638493107104703148.jpg,"7,7",+33000,Antalya - Side-Çolaklı ,"55 km, Antalya HA ","300 - 400 Metre Arası",Özel Plaj,Yok,"2","1","1","1","1","1","0","5","1","0","1","1","0","1","1","1","1","0","0","1","0","0","1","0","1","1","1","1","0"
53,Hedef Kleopatra Hotel,"34.912,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11412/1050X700/tsr11412637896969373112254.jpg,"8,4",+33000,Antalya - Alanya ,"110 km, Antalya HA ","100 - 200 Metre Arası",Halk Plajı,Yok,"0","0","1","1","1","0","1","1","0","0","1","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1"
45,Turunç Premium Hotel,"64.680,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04840/1050X700/tsr04840637713008889961242.jpg,"9,4",+33000,Marmaris - Turunç ,"120 km, Dalaman HA ",Denize Sıfır,Özel Plaj,Var,"1","1","1","1","1","1","1","5","0","0","0","1","1","1","1","0","1","1","1","0","0","0","1","1","1","1","1","1","1"
31,Queens Park Resort Göynük,"68.040,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02797/1050X700/tsr02797637115931447450695.jpg,"7,9",+33000,Antalya - Kemer-Göynük ,"46 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,"3","1","1","1","2","1","0","4","1","0","1","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1"
155,Söz Hotel Gümbet (Ex. The Best Life Hotel Gümbet),"37.196,00 TL",,"",+33000,"","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
64,Oba Star Hotel Spa,"37.251,90 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02801/1050X700/tsr02801638392860593939941.jpg,"6,4",+33000,Antalya - Alanya-Obagöl ,"35 km, Gazipaşa(Alanya) HA ","50 - 100 Metre Arası",Özel Plaj,Yok,"0","1","0","0","2","0","1","3","1","0","1","1","0","0","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1"
154,Elips Royal Hotel,"26.145,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/06974/tsr06974637039951580664898.jpg,"8,1","25000-27000",Antalya - Antalya Merkez-Muratpaşa ,"10 km, Antalya HA ",Uygun Değil,Yok,Yok,"0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
