id,otel_ad,fiyat,imageurl,score,bolge,hava_alanina_uzakligi,denize_uzakligi,plaj,iskele,a_la_carte_restoran,asansor,acik_restoran,kapali_restoran,acik_havuz,kapali_havuz,bedensel_engelli_odasi,bar,su_kaydiragi,balo_salonu,kuafor,otopark,market,sauna,doktor,beach_voley,fitness,canli_eglence,wireless_internet,animasyon,sorf,parasut,arac_kiralama,kano,spa,masaj,masa_tenisi,cocuk_havuzu,cocuk_parki
205,Hotel Melas Lara,21420.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/02387/1050X700/tsr02387638095585350996249.jpg,8.9,Antalya Lara Kundu ,12,0.0,2.0,0,3,1,1,1,1,1,0,2,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
297,Sesin Hotel,5280.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/01420/1050X700/tsr01420638484569333940400.jpg,7.8,Marmaris Siteler ,92,100.0,2.0,0,1,1,1,1,1,0,1,3,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
240,Venosa Beach Resort,20160.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/02977/1050X700/tsr02977638404191068934421.jpg,7.8,Didim Yeşilkent ,90,0.0,2.0,0,5,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
51,Orange County Alanya,13650.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/05847/1050X700/tsr05847638502603815867311.jpg,7.9,Antalya Alanya Okurcalar ,90,0.0,2.0,1,2,1,1,1,2,2,1,7,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
442,Mert Seaside Hotel,6960.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/06850/1050X700/tsr06850637092449324781022.jpg,8.2,Marmaris Siteler ,95,,-1.0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
333,My Dream Hotel,6120.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/04986/1050X700/tsr04986638166376645365150.jpg,6.6,Marmaris Siteler ,95,50.0,-1.0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
34,Kirman Arycanda De Luxe,26392.5,https://cdn.tatilsepeti.com/Files/Images/Tesis/00897/1050X700/tsr00897638487745120957951.jpg,8.4,Antalya Alanya Okurcalar ,90,0.0,2.0,0,4,1,1,1,2,1,1,5,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1
8,Armonia Holiday Village Spa,9578.8,https://cdn.tatilsepeti.com/Files/Images/Tesis/02078/1050X700/tsr02078637351558334518947.jpg,7.6,Bodrum Akyarlar ,54,0.0,2.0,0,3,1,1,3,3,0,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,La Perla Hotel Kemer,11917.1,https://cdn.tatilsepeti.com/Files/Images/Tesis/13125/1050X700/tsr13125638274412128653163.jpg,0.7,Antalya Kemer ,45,0.0,2.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
70,Side Premium Hotel,35820.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/04269/1050X700/tsr04269637249818074097992.jpg,8.4,Antalya Side Evrenseki ,55,100.0,2.0,0,4,1,1,1,2,1,1,3,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
737,Oscar Garden Hotel,7560.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/11436/1050X700/tsr11436638027581744831302.jpg,,Antalya Muratpaşa ,14,500.0,-1.0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
581,Martı Hemithea Hotel,41368.1,https://cdn.tatilsepeti.com/Files/Images/Tesis/04094/1050X700/tsr04094637338850352800040.jpg,9.9,Marmaris Hisarönü ,115,0.0,2.0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0
206,Mirage World Hotel,13177.2,https://cdn.tatilsepeti.com/Files/Images/Tesis/01847/1050X700/tsr01847638089655792571561.jpg,8.4,Marmaris İçmeler ,90,50.0,2.0,0,0,1,1,1,4,0,1,3,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
125,Miramor Garden Resort,11526.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/13008/1050X700/tsr13008638162106027755827.jpg,0.8,Antalya Kemer Kiriş ,65,200.0,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0
